x1,x2,label
-2.503285846988767,-3.138264301171185,0
-2.3523114618993075,-1.4769701435919746,0
-3.234153374723336,-3.2341369569491807,0
-1.4207871844926085,-2.232565270847091,0
-3.469474385934952,-2.4574399564140355,0
-3.4634176928124623,-3.465729753570257,0
-2.758037728433966,-4.913280244657798,0
-4.724917832513032,-3.562287529240973,0
-4.012831120334424,-2.685752667404726,0
-3.908024075521211,-4.412303701335292,0
-1.534351231078446,-3.225776300486536,0
-2.9324717953120762,-4.424748186213456,0
-3.5443827245251827,-2.8890774102901338,0
-4.150993577422303,-2.624301981654328,0
-3.6006386899188048,-3.291693749793277,0
-3.601706612229397,-1.1477218154910622,0
-3.013497224737934,-4.057710928955901,0
-2.177455087896811,-4.220843649971022,0
-2.7911364049952447,-4.959670123879776,0
-4.328186048898431,-2.8031387641308765,0
-2.2615334200045893,-2.8286317188100294,0
-3.1156482823882405,-3.3011036955892887,0
-4.478521990367428,-3.7198442083947088,0
-3.4606387709597874,-1.9428777737810843,0
-2.6563817104315386,-4.763040155362734,0
-2.675916030605205,-3.3850822804163165,0
-3.6769220003059586,-2.3883237111591322,0
-1.969000477504049,-2.068719880883801,0
-3.8392175232226387,-3.3092123758512146,0
-2.668736568596436,-2.024454872877641,0
-3.47917423784529,-3.185658976663817,0
-4.106334974006028,-4.196206624080671,0
-2.187474177605802,-1.643759971429177,0
-3.072010121580334,-1.9964671021079758,0
-2.638363974952366,-3.6451197546051244,0
-2.638604394491586,-1.4619634335340308,0
-3.0358260391099514,-1.4353563441859938,0
-5.619745104089745,-2.178097495624776,0
-2.912952931761829,-3.2990073504658675,0
-2.9082392234644976,-4.987568914600892,0
-3.219671887837512,-2.6428874284882538,0
-1.522105955258484,-3.5182702182736474,0
-3.8084936028931877,-3.5017570435845364,0
-2.084597882297926,-2.6712488903403155,0
-3.529760203767039,-2.486732566886644,0
-2.9029224506519595,-2.0313550094671107,0
-3.7020530938773524,-3.3276621465977683,0
-3.3921081531321575,-4.463514948132119,0
-2.703879722935424,-2.738944727820111,0
-2.994886543357539,-3.234587133375147,0
-4.415370742050414,-3.420645322765359,0
-3.3427145165267693,-3.802277269221619,0
-3.161285711666009,-2.5959491431854618,0
-1.1138140987894698,-2.825422187168161,0
-2.7424496092772355,-3.074445915766167,0
-4.918771215299041,-3.0265138754492167,0
-2.9397697900589734,-0.5367578875147139,0
-3.1923609647811224,-2.6984526576663876,0
-3.0347117697052433,-4.168678037619532,0
-1.8571771854849795,-2.2480669673132256,0
-2.208968052956953,-3.909387454794739,0
-1.5972056890639008,-4.4018510627922804,0
-2.4131429061997296,-0.8095443741900215,0
-3.9905363251306882,-3.566297729602772,0
-2.900348634912359,-3.5034756541161993,0
-4.550663431066132,-2.9314370251939725,0
-4.062303713726105,-2.5264075693648183,0
-3.9194242342338033,-1.4500655949824606,0
-3.783253292336237,-3.3220615162056757,0
-2.18648278263033,-4.230864316433955,0
-2.7725400653958707,-1.692857245717572,0
-4.6074832345612275,-2.815366141467696,0
-2.7401172057515764,-2.2181771282226896,0
-4.236950710878082,-4.320456613084277,0
-2.4780584343831022,-2.7030153267668138,0
-2.7495071496541232,-2.653551790503024,0
-3.6800247215784907,-2.7677463028389964,0
-2.706927526701319,-3.714351418026368,0
-1.1342254888552434,-2.5261670790882125,0
-4.191303497202648,-2.3434463913661703,0
-3.9746816702273216,-2.212915396257548,0
-1.841404420992596,-3.8206823183517105,0
-2.0366238707556783,-2.5872190730635016,0
-2.17793984000551,-1.1032070173460526,0
-3.2453881160028706,-3.7537361643574894,0
-3.8895144296255233,-3.8158102849654383,0
-3.077101709414104,-2.658848025183356,0
